"plz","Ortsname","geo","city","area","population","lat","lng","distance"
"10115","Berlin Mitte","52.5321386654,13.3846723824",NA,NA,NA,52.5321386654,13.3846723824,255215.614150912
"10117","Berlin Mitte","52.5168816758,13.3873702411",NA,NA,NA,52.5168816758,13.3873702411,256183.22177182
"10119","Berlin Mitte","52.5304769232,13.4053278168",NA,NA,NA,52.5304769232,13.4053278168,256536.142833861
"10178","Berlin Mitte","52.5213102309,13.4098052903","Berlin, Stadt",891.155501222494,3644826,52.5213102309,13.4098052903,257285.53122881
"10179","Berlin Mitte","52.5121132336,13.4164054689",NA,NA,NA,52.5121132336,13.4164054689,258165.29081978
"10243","Berlin Friedrichshain","52.5122759786,13.4394053367",NA,NA,NA,52.5122759786,13.4394053367,259527.813567811
"10245","Berlin Friedrichshain","52.5006432039,13.4647472134",NA,NA,NA,52.5006432039,13.4647472134,261653.798854359
"10247","Berlin Friedrichshain","52.5160995627,13.4655041805",NA,NA,NA,52.5160995627,13.4655041805,260885.581117387
"10249","Berlin Friedrichshain","52.5238119439,13.4428782231",NA,NA,NA,52.5238119439,13.4428782231,259129.29777798
"10315","Berlin Friedrichsfelde","52.5139059563,13.5149923965",NA,NA,NA,52.5139059563,13.5149923965,263962.31612888
"10317","Berlin Rummelsburg","52.4977780607,13.4909600623",NA,NA,NA,52.4977780607,13.4909600623,263368.788276997
"10318","Berlin Karlshorst","52.4834169981,13.5290339713",NA,NA,NA,52.4834169981,13.5290339713,266398.99746803
"10319","Berlin","52.4992430003,13.5183970959",NA,NA,NA,52.4992430003,13.5183970959,264930.777815552
"10365","Berlin Lichtenberg","52.5207748714,13.4958550077",NA,NA,NA,52.5207748714,13.4958550077,262458.984541551
"10367","Berlin Lichtenberg","52.5245663499,13.482076657",NA,NA,NA,52.5245663499,13.482076657,261436.571355668
"10369","Berlin Lichtenberg","52.5294389136,13.469377763",NA,NA,NA,52.5294389136,13.469377763,260422.899912007
"10405","Berlin Prenzlauer Berg","52.5351586776,13.4255510177",NA,NA,NA,52.5351586776,13.4255510177,257500.735814778
"10407","Berlin Prenzlauer Berg","52.5337125623,13.4490605171",NA,NA,NA,52.5337125623,13.4490605171,258983.771350703
"10409","Berlin Prenzlauer Berg","52.5442846741,13.4414535924",NA,NA,NA,52.5442846741,13.4414535924,257981.077708153
"10435","Berlin Prenzlauer Berg","52.5377681828,13.4111444872",NA,NA,NA,52.5377681828,13.4111444872,256502.698019162
"10437","Berlin Prenzlauer Berg","52.5448409936,13.4125906804",NA,NA,NA,52.5448409936,13.4125906804,256221.718527028
"10439","Berlin Prenzlauer Berg","52.5520399712,13.4116904074",NA,NA,NA,52.5520399712,13.4116904074,255795.589491237
"10551","Berlin Moabit","52.5307453195,13.3371221193",NA,NA,NA,52.5307453195,13.3371221193,252456.075819854
"10553","Berlin Moabit","52.5305335781,13.3214908139",NA,NA,NA,52.5305335781,13.3214908139,251537.929040353
"10555","Berlin Moabit","52.5215231099,13.3355165338",NA,NA,NA,52.5215231099,13.3355165338,252852.851246797
"10557","Berlin Moabit","52.5233700518,13.3595527868",NA,NA,NA,52.5233700518,13.3595527868,254182.856690673
"10559","Berlin Moabit","52.5301100992,13.3499266238",NA,NA,NA,52.5301100992,13.3499266238,253251.816159994
"10585","Berlin Charlottenburg","52.5152028381,13.3056805796",NA,NA,NA,52.5152028381,13.3056805796,251424.221198883
"10587","Berlin Charlottenburg","52.5184683441,13.3195096382",NA,NA,NA,52.5184683441,13.3195096382,252067.159964314
"10589","Berlin Charlottenburg","52.5275482475,13.3057410002",NA,NA,NA,52.5275482475,13.3057410002,250762.428705675
"10623","Berlin Charlottenburg","52.5023392831,13.3194250957",NA,NA,NA,52.5023392831,13.3194250957,252935.587782659
"10623","Berlin Charlottenburg","52.5088683756,13.3273754995",NA,NA,NA,52.5088683756,13.3273754995,253051.441915322
"10625","Berlin Charlottenburg","52.5094794322,13.3147161194",NA,NA,NA,52.5094794322,13.3147161194,252269.07406803
